grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min; preco_ou_valor ;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P067;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.864;4058b8a5-20f1-49ab-a3e1-1a4266c83fa4;KIT AMORTECEDOR TRASE;SAMPE;;;;-1;5; R$ 122,50 ;;2026-07-28T13:45:18.787527+00:00;
P070;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b9547fa7-cca9-4378-8fdc-b4d3964e4852;Cola silicone ;Sem Marca;;;;-1;0; R$ -   ;;2026-05-28T12:14:03.52722+00:00;
P070;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f93b516d-3069-4f13-8db9-b1546eb02733;COLA SILICONE;Sem Marca;;;;-1;0; R$ -   ;;2026-07-16T19:38:39.742772+00:00;
P072;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b6b5b1c6-56a6-4c52-95f5-42f9bb85f0d3;Radiador;Sem Marca;;;87089100;-2;0; R$ -   ;;2026-05-29T18:08:13.12618+00:00;
P072;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f98add90-5e09-4161-988c-ff2073231a01;RADIADOR ;Sem Marca;;;;0;0; R$ -   ;;2026-07-17T17:37:37.339276+00:00;
P072;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;3cb40a31-290b-44f4-88bd-a963df58e07b;RADIADOR ;Sem Marca;;;;0;0; R$ -   ;;2026-07-17T17:37:42.517913+00:00;
P075;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;9a292e34-398e-48e2-b5c1-b10e7a71be6d;mangueira de silicone 5mm int;Sem Marca;;;;-1;0; R$ -   ;;2026-04-28T20:09:25.182747+00:00;
P075;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;ad7d0d83-48d1-4b1b-985f-1eeaa6a35b53;mangueira de silicone 5mm int;Sem Marca;;;;-1;0; R$ -   ;;2026-04-28T20:09:34.533263+00:00;
P077;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;a236152c-0bc8-4314-bd4f-abdc614a84db;LAMPADA H1 ;MULTI;AU801;;;3;1; R$ 122,50 ;;2026-06-29T13:16:22.949376+00:00;
P077;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0bd41f32-17be-4f07-a50a-2762f89ec18b;LAMPADA H1 ;OSRAM ;64150;;;2;1; R$ 122,50 ;;2026-06-29T13:16:48.498942+00:00;
P079;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0a72b0d2-f450-4e00-a02c-613a13e66c62;LAMPADA H7;GAUSS;PX26D;;;1;1; R$ 122,50 ;;2026-06-29T13:17:27.962338+00:00;
